,datno,setno,division,subdivision,calage,calspan,calsigI,calsigD,calsigC,calseqno,c14age,c14sig,c14addsig,c14mulsig,ReservoirAge,ReservoirSig,labid,Date_Modified,F,sdF
1,1,1,1,0,960,1,0,0,0,1,1102.980934,17.61015018,0,1,0,0,CHI01,01/11/2023,0.8717,0.0019
2,2,1,1,0,959,1,0,0,0,2,1095.184648,17.45470047,0,1,0,0,CHI01,01/11/2023,0.8725,0.0019
3,3,1,1,0,958,1,0,0,0,3,1116.051348,17.73877792,0,1,0,0,CHI01,01/11/2023,0.8703,0.0019
4,4,1,1,0,957,1,0,0,0,4,1058.892399,18.01591586,0,1,0,0,CHI01,01/11/2023,0.8765,0.002
5,5,1,1,0,956,1,0,0,0,5,1006.182647,17.79671024,0,1,0,0,CHI01,01/11/2023,0.8823,0.002
6,6,1,1,0,955,1,0,0,0,6,988.1564757,17.16586149,0,1,0,0,CHI01,01/11/2023,0.8843,0.0019
7,7,1,1,0,954,1,0,0,0,7,1023.410845,17.17434256,0,1,0,0,CHI01,01/11/2023,0.8804,0.0019
8,8,1,1,0,953,1,0,0,0,8,1015.435247,17.22532301,0,1,0,0,CHI01,01/11/2023,0.8813,0.0019
9,9,1,1,0,952,1,0,0,0,9,992.5611837,16.81845343,0,1,0,0,CHI01,01/11/2023,0.8838,0.0019
10,10,1,1,0,951,1,0,0,0,10,1034.430823,17.00942019,0,1,0,0,CHI01,01/11/2023,0.8792,0.0019
11,11,1,1,0,950,1,0,0,0,11,1024.29309,17.56221872,0,1,0,0,CHI01,01/11/2023,0.8803,0.0019
12,12,1,2,0,960,1,0,0,0,1,1105.07166,16.49517908,0,1,0,0,USA07,01/11/2023,0.8715,0.0018
13,13,1,2,0,959,1,0,0,0,2,1067.523992,16.67668955,0,1,0,0,USA07,01/11/2023,0.8756,0.0018
14,14,1,2,0,958,1,0,0,0,3,1087.104408,16.84681647,0,1,0,0,USA07,01/11/2023,0.8734,0.0018
15,15,1,2,0,957,1,0,0,0,4,1100.573466,16.40729389,0,1,0,0,USA07,01/11/2023,0.872,0.0018
16,16,1,2,0,956,1,0,0,0,5,1067.709954,16.53318449,0,1,0,0,USA07,01/11/2023,0.8755,0.0018
17,17,1,2,0,955,1,0,0,0,6,1061.502205,16.32415756,0,1,0,0,USA07,01/11/2023,0.8762,0.0018
18,18,1,2,0,954,1,0,0,0,7,1044.175209,16.30435813,0,1,0,0,USA07,01/11/2023,0.8781,0.0018
19,19,1,2,0,953,1,0,0,0,8,1024.762479,16.65513739,0,1,0,0,USA07,01/11/2023,0.8802,0.0018
20,20,1,2,0,952,1,0,0,0,9,1031.442283,16.87582891,0,1,0,0,USA07,01/11/2023,0.8795,0.0018
21,21,1,2,0,951,1,0,0,0,10,1028.097149,16.97885951,0,1,0,0,USA07,01/11/2023,0.8799,0.0019
22,22,1,2,0,950,1,0,0,0,11,1060.764215,16.61714547,0,1,0,0,USA07,01/11/2023,0.8763,0.0018
