,datno,setno,division,subdivision,calage,calspan,calsigI,calsigD,calsigC,calseqno,c14age,c14sig,c14addsig,c14mulsig,ReservoirAge,ReservoirSig,labid,Date_Modified,F,sdF
1,1,1,1,0,960,1,0,0,0,1,1057.485223,17.01750449,0,1,0,0,SWE01,01/11/2023,0.876654232,0.001857148
2,2,1,1,0,959,1,0,0,0,2,1071.176819,12.35590936,0,1,0,0,SWE01,01/11/2023,0.875161318,0.001346124
3,3,1,1,0,958,1,0,0,0,3,1090.342188,12.29144581,0,1,0,0,SWE01,01/11/2023,0.873075821,0.00133591
4,4,1,1,0,957,1,0,0,0,4,1008.331976,12.9949872,0,1,0,0,SWE01,01/11/2023,0.88203485,0.001426868
5,5,1,1,0,956,1,0,0,0,5,1007.128641,12.18495396,0,1,0,0,SWE01,01/11/2023,0.882166987,0.001338126
6,6,1,1,0,955,1,0,0,0,6,1018.422814,12.32379983,0,1,0,0,SWE01,01/11/2023,0.880927557,0.001351472
7,7,1,1,0,954,1,0,0,0,7,1012.47448,12.2656925,0,1,0,0,SWE01,01/11/2023,0.881580114,0.001346096
8,8,1,1,0,953,1,0,0,0,8,1026.865144,12.39772083,0,1,0,0,SWE01,01/11/2023,0.880002227,0.00135815
9,9,1,1,0,952,1,0,0,0,9,991.9577489,17.14526711,0,1,0,0,SWE01,01/11/2023,0.883834597,0.001886416
10,10,1,1,0,951,1,0,0,0,10,996.505872,17.29902302,0,1,0,0,SWE01,01/11/2023,0.883334329,0.001902256
11,11,1,1,0,950,1,0,0,0,11,998.8619847,12.34007456,0,1,0,0,SWE01,01/11/2023,0.883075281,0.001356556
12,12,1,2,0,959,1,0,0,0,1,1107.320607,16.65832916,0,1,0,0,SWE02,01/11/2023,0.871232451,0.001806707
13,13,1,2,0,958,1,0,0,0,2,1105.194039,12.07166547,0,1,0,0,SWE02,01/11/2023,0.871463122,0.001309599
14,14,1,2,0,957,1,0,0,0,3,1016.743216,12.09026165,0,1,0,0,SWE02,01/11/2023,0.881111767,0.001326139
15,15,1,2,0,956,1,0,0,0,4,1032.180071,17.12014815,0,1,0,0,SWE02,01/11/2023,0.879420178,0.001874244
