Year,gaps,c14_age,c14_sig
-15,0,1029,18 
-20,5,1023,18 
-25,10,1024,20 
-26,11,1004,21 
-27,12,1026,14 
-28,13,1060,18 
-29,14,1091,13 
-30,15,1106,22 
-31,16,1084,20 
-32,17,1080,11 
-33,18,1089,21 
-38,23,1120,18 
