"","datno","setno","division","subdivision","calage","calspan","calsigI","calsigD","calsigC","calseqno","c14age","c14sig","c14addsig","c14mulsig","ReservoirAge","ReservoirSig","labid","Date_Modified","F","sdF"
"1937",1937,1,14,0,8745.5,10,0,0,0,901,7922,35.1,0,1,0,0,"QL-11847","2004-01-17",0.372998082816722,0.00162980613803896
"1938",1938,1,14,0,8755.5,10,0,0,0,902,7922,28.6,0,1,0,0,"QL-11848","2004-01-17",0.372998082816722,0.00132799018655026
"1939",1939,1,14,0,8765.5,10,0,0,0,903,7883.68369048885,28.8587851711148,0,1,0,0,"QL-11849","2004-01-17",0.37478148247728,0.00134641333112458
"1941",1941,1,14,0,8775.5,10,0,0,0,905,7947.38038890858,23.6826159758478,0,1,0,0,"QL-11850","2004-01-17",0.371821449325695,0.001096191285443
"1943",1943,1,14,0,8785.5,10,0,0,0,907,7938,35.1,0,1,0,0,"QL-11851","2004-01-17",0.372255890632414,0.00162656314716765
"1944",1944,1,14,0,8795.5,10,0,0,0,908,8008,28.6,0,1,0,0,"QL-11852","2004-01-17",0.36902612511815,0.00131384877111653
"1945",1945,1,14,0,8805.5,10,0,0,0,909,7936,35.1,0,1,0,0,"QL-11853","2004-01-17",0.372348583831794,0.00162696816786953
"1946",1946,1,14,0,8815.5,10,0,0,0,910,8026,27.3,0,1,0,0,"QL-11854","2004-01-17",0.368200153037085,0.00125132132178668
"1947",1947,1,14,0,8825.5,10,0,0,0,911,7962,33.8,0,1,0,0,"QL-11855","2004-01-17",0.371145370465922,0.00156164739471532
"1948",1948,1,14,0,8835.5,10,0,0,0,912,7956,28.6,0,1,0,0,"QL-11856","2004-01-17",0.371422689534319,0.00132238129225464
"1949",1949,1,14,0,8845.5,10,0,0,0,913,7949.29898869145,22.8515436162893,0,1,0,0,"QL-11857","2004-01-17",0.371732654184729,0.00105747105199817
"1951",1951,1,14,0,8855.5,10,0,0,0,915,7937,28.6,0,1,0,0,"QL-11858","2004-01-17",0.372302234347341,0.00132551274770745
"1952",1952,1,14,0,8865.5,10,0,0,0,916,7935,35.1,0,1,0,0,"QL-11859","2004-01-17",0.37239493908649,0.00162717071603832
"1953",1953,1,14,0,8875.5,10,0,0,0,917,8016.39493292042,16.1642204375816,0,1,0,0,"QL-11860","2004-01-17",0.36864067368469,0.000741788760325895
"1955",1955,1,14,0,8885.5,10,0,0,0,919,7946,27.3,0,1,0,0,"QL-11861","2004-01-17",0.371885348529758,0.00126384538962559
"1956",1956,1,14,0,8895.5,10,0,0,0,920,7930,27.3,0,1,0,0,"QL-11862","2004-01-17",0.372626801938779,0.00126636520514486
"1957",1957,1,14,0,8905.5,10,0,0,0,921,7984.44909886059,26.6889380964673,0,1,0,0,"QL-11863","2004-01-17",0.370109611997587,0.00122965673142178
"1959",1959,1,14,0,8915.5,10,0,0,0,923,7970.05922876429,22.5016777276281,0,1,0,0,"QL-11864","2004-01-17",0.370773199982778,0.00103859318511812
"1961",1961,1,14,0,8925.5,10,0,0,0,925,7925,35.1,0,1,0,0,"QL-11865","2004-01-17",0.372858809154957,0.00162919758512872
"1962",1962,1,14,0,8935.5,10,0,0,0,926,7955,28.6,0,1,0,0,"QL-11866","2004-01-17",0.371468929520507,0.00132254592111123
"1963",1963,1,14,0,8945.5,10,0,0,0,927,7941,31.2,0,1,0,0,"QL-11867","2004-01-17",0.372116894097605,0.00144529404902842
"1964",1964,1,14,0,8955.5,10,0,0,0,928,7976.08234734629,19.2354384206179,0,1,0,0,"QL-11868","2004-01-17",0.370495299580388,0.000887170362281457
"1966",1966,1,14,0,8965.5,10,0,0,0,930,8005,27.3,0,1,0,0,"QL-11869","2004-01-17",0.369163967160419,0.00125459682602757
"1967",1967,1,14,0,8975.5,10,0,0,0,931,7980.50429502567,23.2060780139279,0,1,0,0,"QL-11870","2004-01-17",0.370291408133832,0.00106971384352557
"1969",1969,1,14,0,8985.5,10,0,0,0,933,8007,31.2,0,1,0,0,"QL-11871","2004-01-17",0.369072066745867,0.00143346800478913
"1970",1970,1,14,0,8995.5,10,0,0,0,934,7988,29.9,0,1,0,0,"QL-11872","2004-01-17",0.3699460451836,0.00137699324673094
"1971",1971,1,14,0,9005.5,10,0,0,0,935,7996,28.6,0,1,0,0,"QL-11873","2004-01-17",0.369577802292349,0.0013158129149211
"1972",1972,1,14,0,9015.5,10,0,0,0,936,8113,22.1,0,1,0,0,"QL-11874","2004-01-17",0.364233942192222,0.00100206275643572
"1973",1973,1,14,0,9025.5,10,0,0,0,937,8102.44446436094,21.295601149697,0,1,0,0,"QL-11875","2004-01-17",0.364712868055998,0.000966859177428431
"1975",1975,1,14,0,9035.5,10,0,0,0,939,8187,29.9,0,1,0,0,"QL-11876","2004-01-17",0.360894026208237,0.00134330030917793
"1976",1976,1,14,0,9045.5,10,0,0,0,940,8162,36.4,0,1,0,0,"QL-11877","2004-01-17",0.362018936545704,0.00164041943112955
"1977",1977,1,14,0,9055.5,10,0,0,0,941,8105,27.3,0,1,0,0,"QL-11878","2004-01-17",0.364596860525338,0.00123907559969398
"1978",1978,1,14,0,9065.5,10,0,0,0,942,8104,27.3,0,1,0,0,"QL-11879","2004-01-17",0.364642250735117,0.00123922985747152
"1979",1979,1,14,0,9075.5,10,0,0,0,943,8150,39,0,1,0,0,"QL-11880","2004-01-17",0.362560138293565,0.00176021976763962
"1980",1980,1,14,0,9085.5,10,0,0,0,944,8129,31.2,0,1,0,0,"QL-11881","2004-01-17",0.363509188909006,0.0014118619063813
"1981",1981,1,14,0,9095.5,10,0,0,0,945,8176,28.6,0,1,0,0,"QL-11882","2004-01-17",0.361388555472334,0.00128665662722628
"1982",1982,1,14,0,9105.5,10,0,0,0,946,8109,28.6,0,1,0,0,"QL-11883","2004-01-17",0.36441535618035,0.00129743298727225
"1983",1983,1,14,0,9115.5,10,0,0,0,947,8152,27.3,0,1,0,0,"QL-11884","2004-01-17",0.362469881849348,0.00123184710251303
"1984",1984,1,14,0,9125.5,10,0,0,0,948,8155,27.3,0,1,0,0,"QL-11885","2004-01-17",0.362334539309935,0.00123138714342851
"1985",1985,1,14,0,9135.5,10,0,0,0,949,8231.5448616808,20.9995572224981,0,1,0,0,"QL-11886","2004-01-17",0.358898322954653,0.000938218084146002
"1987",1987,1,14,0,9145.5,10,0,0,0,951,8238.16941360176,18.2423210165935,0,1,0,0,"QL-11887","2004-01-17",0.358602473271562,0.000814358450736242
"1989",1989,1,14,0,9275.5,10,0,0,0,953,8272,32.5,0,1,0,0,"QL-11889","2004-01-17",0.357095412188376,0.00144474055721676
"1990",1990,1,14,0,9285.5,10,0,0,0,954,8291,40.3,0,1,0,0,"QL-11890","2004-01-17",0.356251792707835,0.00178724601594992
"1991",1991,1,14,0,9295.5,10,0,0,0,955,8289,28.6,0,1,0,0,"QL-11891","2004-01-17",0.35634050082309,0.00126868396907013
"1992",1992,1,14,0,9305.5,10,0,0,0,956,8324,28.6,0,1,0,0,"QL-11892","2004-01-17",0.354791292967493,0.00126316830310847
"1993",1993,1,14,0,9525.5,10,0,0,0,957,8504,32.5,0,1,0,0,"QL-11900","2004-01-17",0.346929691297475,0.0014036119715135
"1994",1994,1,14,0,9535.5,10,0,0,0,958,8543,29.9,0,1,0,0,"QL-11901","2004-01-17",0.345249439021973,0.00128506886925893
"1995",1995,1,14,0,6834.5,10,0,0,0,959,5926,26,0,1,0,0,"QL-11644","2004-01-17",0.478209212689661,0.00154779528568793
"1996",1996,1,14,0,6824.5,10,0,0,0,960,6029,26,0,1,0,0,"QL-11643","2004-01-17",0.472116705003446,0.00152807597785256
"1997",1997,1,14,0,6814.5,10,0,0,0,961,5994,24.7,0,1,0,0,"QL-11642","2004-01-17",0.474178218131439,0.00145801095329846
"1998",1998,1,14,0,6804.5,10,0,0,0,962,6002.50228743895,18.3587867745666,0,1,0,0,"QL-11641","2004-01-17",0.473676603952712,0.00108255045089863
"2000",2000,1,14,0,6794.5,10,0,0,0,964,5974,26,0,1,0,0,"QL-11640","2004-01-17",0.475360264679821,0.00153857424146338
"2001",2001,1,14,0,6784.5,10,0,0,0,965,5955,24.7,0,1,0,0,"QL-11639","2004-01-17",0.476485938115766,0.00146510676851231
"2002",2002,1,14,0,6774.5,10,0,0,0,966,5961,24.7,0,1,0,0,"QL-11638","2004-01-17",0.476130174614542,0.00146401286107048
"2003",2003,1,14,0,6764.5,10,0,0,0,967,5926,26,0,1,0,0,"QL-11637","2004-01-17",0.478209212689661,0.00154779528568793
"2004",2004,1,14,0,6847.5,10,0,0,0,968,6044,28.6,0,1,0,0,"QL-11914","2004-01-17",0.471235945284616,0.0016777477947392
"2005",2005,1,14,0,6837.5,10,0,0,0,969,6011,27.3,0,1,0,0,"QL-11913","2004-01-17",0.473175789890078,0.00160807905689022
"2006",2006,1,14,0,6827.5,10,0,0,0,970,5954,24.7,0,1,0,0,"QL-11912","2004-01-17",0.476545257871446,0.00146528916586888
"2007",2007,1,14,0,6817.5,10,0,0,0,971,5927,26,0,1,0,0,"QL-11911","2004-01-17",0.478149685806973,0.00154760261807311
"2008",2008,1,14,0,6807.5,10,0,0,0,972,5995,24.7,0,1,0,0,"QL-11910","2004-01-17",0.474119193021895,0.00145782946192466
"2009",2009,1,14,0,6797.5,10,0,0,0,973,6008,24.7,0,1,0,0,"QL-11909","2004-01-17",0.473352534875842,0.00145547212889746
"2010",2010,1,14,0,6787.5,10,0,0,0,974,5976,27.3,0,1,0,0,"QL-11908","2004-01-17",0.475241927547079,0.001615100787008
"2011",2011,1,14,0,6777.5,10,0,0,0,975,5932,26,0,1,0,0,"QL-11907","2004-01-17",0.477852162522563,0.00154663963968463
"2012",2012,1,14,0,6767.5,10,0,0,0,976,5914,27.3,0,1,0,0,"QL-11906","2004-01-17",0.478924113584681,0.00162761462727023
"2013",2013,1,14,0,6757.5,10,0,0,0,977,5934,24.7,0,1,0,0,"QL-11905","2004-01-17",0.4777332050518,0.00146894188532049
"2014",2014,1,14,0,6747.5,10,0,0,0,978,5954,20.8,0,1,0,0,"QL-11904","2004-01-17",0.476545257871446,0.00123392771862643
"2015",2015,1,14,0,6737.5,10,0,0,0,979,5902,24.7,0,1,0,0,"QL-11903","2004-01-17",0.479640083223833,0.00147480518556314
"2016",2016,1,14,0,9513.5,10,0,0,0,980,8477,28.6,0,1,0,0,"QL-11899","2004-01-17",0.348097730805134,0.0012393371220001
"2017",2017,1,14,0,9503.5,10,0,0,0,981,8502,28.6,0,1,0,0,"QL-11898","2004-01-17",0.347016078172351,0.00123548609930652
"2018",2018,1,14,0,9493.5,10,0,0,0,982,8501,31.2,0,1,0,0,"QL-11897","2004-01-17",0.347059279675959,0.00134797081114028
"2019",2019,1,14,0,9483.5,10,0,0,0,983,8460,28.6,0,1,0,0,"QL-11896","2004-01-17",0.348835179769278,0.00124196267165459
"2020",2020,1,14,0,9473.5,10,0,0,0,984,8455,27.3,0,1,0,0,"QL-11895","2004-01-17",0.349052373697741,0.00118624795243973
"2021",2021,1,14,0,9463.5,10,0,0,0,985,8398,22.1,0,1,0,0,"QL-11894","2004-01-17",0.351537963244214,0.000967134194908146
"2022",2022,1,14,0,9453.5,10,0,0,0,986,8412,28.6,0,1,0,0,"QL-11893","2004-01-17",0.350925832617251,0.00124940605164364
"2023",2023,1,14,0,6754.5,10,0,0,0,987,5938.31377686913,26.3016779355087,0,1,0,0,"QL-11636","2004-01-17",0.477476727869255,0.00156335604607465
"2025",2025,1,14,0,9326,9,0,0,0,989,8315,28.6,0,1,0,0,"QL-11757","2004-01-17",0.355189016241144,0.00126458432273083
"2026",2026,1,14,0,9336,9,0,0,0,990,8383.96263936466,26.1483635272742,0,1,0,0,"QL-11758","2004-01-17",0.352152799450991,0.00114629894400496
"2028",2028,1,14,0,9346,9,0,0,0,992,8289,31.2,0,1,0,0,"QL-11759","2004-01-17",0.35634050082309,0.00138401887534924
"2029",2029,1,14,0,9356,9,0,0,0,993,8356,44.2,0,1,0,0,"QL-11760","2004-01-17",0.353380769127117,0.00194440806615444
"2030",2030,1,14,0,9366,9,0,0,0,994,8258,31.2,0,1,0,0,"QL-11761","2004-01-17",0.35771830460105,0.00138937023572174
"2031",2031,1,14,0,9376,9,0,0,0,995,8366,35.1,0,1,0,0,"QL-11762","2004-01-17",0.35294113150144,0.00154216777240141
"2032",2032,1,14,0,9386,9,0,0,0,996,8311,32.5,0,1,0,0,"QL-11763","2004-01-17",0.355365925223288,0.00143774337977802
"2033",2033,1,14,0,9396,9,0,0,0,997,8230,36.4,0,1,0,0,"QL-11764","2004-01-17",0.358967350912334,0.00162659175565903
"2034",2034,1,14,0,9406,9,0,0,0,998,8407.68454670455,22.5331254341636,0,1,0,0,"QL-11765","2004-01-17",0.351114406113386,0.000984900405165539
"2036",2036,1,14,0,9416,9,0,0,0,1000,8324,29.9,0,1,0,0,"QL-11766","2004-01-17",0.354791292967493,0.00132058504415885
"2037",2037,1,14,0,9426,9,0,0,0,1001,8328,28.6,0,1,0,0,"QL-11767","2004-01-17",0.354614670049938,0.00126253947011431
"2038",2038,1,14,0,9436,9,0,0,0,1002,8392,28.6,0,1,0,0,"QL-11768","2004-01-17",0.351800631697685,0.00125252061079967
"2039",2039,1,14,0,9536,9,0,0,0,1003,8607,32.5,0,1,0,0,"QL-11769","2004-01-17",0.342509718292526,0.00138572959597997
"2040",2040,1,14,0,9546,9,0,0,0,1004,8597,31.2,0,1,0,0,"QL-11770","2004-01-17",0.342936362131631,0.00133195748767669
"2041",2041,1,14,0,9556,9,0,0,0,1005,8662,28.6,0,1,0,0,"QL-11771","2004-01-17",0.340172647246488,0.00121112133838536
"2042",2042,1,14,0,9566,9,0,0,0,1006,8727,28.6,0,1,0,0,"QL-11772","2004-01-17",0.337431205065001,0.0012013609442125
"2043",2043,1,14,0,9576,9,0,0,0,1007,8625,31.2,0,1,0,0,"QL-11773","2004-01-17",0.341743096512801,0.00132732286956298
"2044",2044,1,14,0,9586,9,0,0,0,1008,8683,32.5,0,1,0,0,"QL-11774","2004-01-17",0.339284523726986,0.00137268106823441
"2045",2045,1,14,0,9596,9,0,0,0,1009,8642,32.5,0,1,0,0,"QL-11775","2004-01-17",0.341020640444312,0.00137970506839788
"2046",2046,1,14,0,9606,9,0,0,0,1010,8692,32.5,0,1,0,0,"QL-11776","2004-01-17",0.338904609525517,0.00137114400716784
"2047",2047,1,14,0,9626,9,0,0,0,1011,8609,44.2,0,1,0,0,"QL-11778","2004-01-17",0.342424453239869,0.00188412309637772
"2048",2048,1,14,0,9636,9,0,0,0,1012,8738.73678908194,27.9613285074937,0,1,0,0,"QL-11779","2004-01-17",0.336938553862726,0.00117281832334066
"2050",2050,1,14,0,9646,9,0,0,0,1014,8712,32.5,0,1,0,0,"QL-11780","2004-01-17",0.338061878120126,0.00136773447515301
"2051",2051,1,14,0,9656,9,0,0,0,1015,8694,49.4,0,1,0,0,"QL-11781","2004-01-17",0.338820241935829,0.00208362006120129
"2052",2052,1,14,0,9666,9,0,0,0,1016,8728,40.3,0,1,0,0,"QL-11782","2004-01-17",0.337389202052039,0.00169261606407285
"2053",2053,1,14,0,9676,9,0,0,0,1017,8716,40.3,0,1,0,0,"QL-11783","2004-01-17",0.337893583473636,0.00169514644765188
"2054",2054,1,14,0,9686,9,0,0,0,1018,8774,40.3,0,1,0,0,"QL-11784","2004-01-17",0.335462704906353,0.00168295120225644
"2055",2055,1,14,0,9696,9,0,0,0,1019,8677,42.9,0,1,0,0,"QL-11785","2004-01-17",0.33953803643529,0.00181329288722444
"2056",2056,1,15,0,11667.5,10,0,0,0,1,10112,29.9,0,1,0,0,"QL-12164","2004-01-17",0.283992508583773,0.00105706162164257
"2057",2057,1,15,0,11657.5,10,0,0,0,2,10122,31.2,0,1,0,0,"QL-12163","2004-01-17",0.28363919622755,0.001101648564957
"2058",2058,1,15,0,11647.5,10,0,0,0,3,10093.0937551957,21.0964870850023,0,1,0,0,"QL-12162","2004-01-17",0.284661692610534,0.000747586421231547
"2060",2060,1,15,0,11637.5,10,0,0,0,5,10111,35.1,0,1,0,0,"QL-12161","2004-01-17",0.284027864015857,0.00124105291011535
"2061",2061,1,15,0,11627.5,10,0,0,0,6,10126,33.8,0,1,0,0,"QL-12160","2004-01-17",0.283497994390403,0.00119285848504863
"2062",2062,1,15,0,11617.5,10,0,0,0,7,10066,24.7,0,1,0,0,"QL-12159","2004-01-17",0.285623422390825,0.000878239578370892
"2063",2063,1,15,0,11607.5,10,0,0,0,8,10055,29.9,0,1,0,0,"QL-12158","2004-01-17",0.286014809143241,0.00106458891987836
"2064",2064,1,15,0,11597.5,10,0,0,0,9,9995,31.2,0,1,0,0,"QL-12157","2004-01-17",0.288159106090369,0.00111920379808534
"2065",2065,1,15,0,11587.5,10,0,0,0,10,9982,31.2,0,1,0,0,"QL-12156","2004-01-17",0.288625818550462,0.00112101649928724
"2066",2066,1,15,0,11577.5,10,0,0,0,11,9982,31.2,0,1,0,0,"QL-12155","2004-01-17",0.288625818550462,0.00112101649928724
"2067",2067,1,15,0,10056.5,10,0,0,0,12,8896,31.2,0,1,0,0,"QL-12010","2004-01-17",0.330406407737426,0.00128329141309694
"2068",2068,1,15,0,10046.5,10,0,0,0,13,8905.04420031075,20.4025488976296,0,1,0,0,"QL-12009","2004-01-17",0.330034618847416,0.000838235708819239
"2070",2070,1,15,0,10036.5,10,0,0,0,15,8871,29.9,0,1,0,0,"QL-12008","2004-01-17",0.331436287859118,0.00123365430187821
"2071",2071,1,15,0,10026.5,10,0,0,0,16,8882.66435183689,27.6891749418953,0,1,0,0,"QL-12007","2004-01-17",0.330955373628081,0.00114077943960516
"2073",2073,1,15,0,10016.5,10,0,0,0,18,8853,28.6,0,1,0,0,"QL-12006","2004-01-17",0.332179788691927,0.00118266425452373
"2074",2074,1,15,0,10001.5,20,0,0,0,19,8886,29.9,0,1,0,0,"QL-12004/5","2004-01-17",0.330817975207583,0.00123135285182457
"2075",2075,1,15,0,9981.5,20,0,0,0,20,8892.51349121112,21.8861934712283,0,1,0,0,"QL-12002/3","2004-01-17",0.330549842926075,0.000900594773330537
"2077",2077,1,15,0,9966.5,10,0,0,0,22,8916.53850890805,21.426158721803,0,1,0,0,"QL-12001","2004-01-17",0.329562714577108,0.000879031872440855
"2079",2079,1,15,0,10076.5,10,0,0,0,24,8866,28.6,0,1,0,0,"QL-12012","2004-01-17",0.331642648781324,0.00118075186793799
"2080",2080,1,15,0,10066.5,10,0,0,0,25,8842,28.6,0,1,0,0,"QL-12011","2004-01-17",0.332634971140292,0.00118428484683336
"2081",2081,1,15,0,11567.5,10,0,0,0,26,9992,31.2,0,1,0,0,"QL-12154","2004-01-17",0.288266741937747,0.00111962185341189
"2082",2082,1,15,0,11557.5,10,0,0,0,27,9999,32.5,0,1,0,0,"QL-12153","2004-01-17",0.288015654142571,0.00116525691019962
"2083",2083,1,15,0,11547.5,10,0,0,0,28,10066,31.2,0,1,0,0,"QL-12152","2004-01-17",0.285623422390825,0.00110935525688955
"2084",2084,1,15,0,11537.5,10,0,0,0,29,10026,32.5,0,1,0,0,"QL-12151","2004-01-17",0.287049219624068,0.00116134689876537
"2085",2085,1,15,0,11527.5,10,0,0,0,30,9987,32.5,0,1,0,0,"QL-12150","2004-01-17",0.288446224368871,0.00116699891597016
"2086",2086,1,15,0,11517.5,10,0,0,0,31,10072,24.7,0,1,0,0,"QL-12149","2004-01-17",0.285410164494521,0.000877583849497655
"2087",2087,1,15,0,11507.5,10,0,0,0,32,10068,28.6,0,1,0,0,"QL-12148","2004-01-17",0.285552318726171,0.00101665583413027
"2088",2088,1,15,0,11497.5,10,0,0,0,33,10069,37.7,0,1,0,0,"QL-12147","2004-01-17",0.285516773531877,0.00133997041729762
"2089",2089,1,15,0,11487.5,10,0,0,0,34,10017,32.5,0,1,0,0,"QL-12146","2004-01-17",0.287371003606908,0.00116264877595226
"2090",2090,1,15,0,11477.5,10,0,0,0,35,10036,36.4,0,1,0,0,"QL-12145","2004-01-17",0.286692104442957,0.00129909032761404
"2091",2091,1,15,0,11467.5,10,0,0,0,36,10001,28.6,0,1,0,0,"QL-12144","2004-01-17",0.287943954950972,0.00102517080936111
"2092",2092,1,15,0,11457.5,10,0,0,0,37,9999,28.6,0,1,0,0,"QL-12143","2004-01-17",0.288015654142571,0.00102542608097567
"2093",2093,1,15,0,11447.5,10,0,0,0,38,9987,28.6,0,1,0,0,"QL-12142","2004-01-17",0.288446224368871,0.00102695904605374
"2094",2094,1,15,0,10366.5,10,0,0,0,39,9153,29.9,0,1,0,0,"QL-12041","2004-01-17",0.320003011466017,0.0011910979762024
"2095",2095,1,15,0,10356.5,10,0,0,0,40,9169,32.5,0,1,0,0,"QL-12040","2004-01-17",0.319366268959804,0.00129209557340889
"2096",2096,1,15,0,10276.5,10,0,0,0,41,9188.50564857242,22.7754300324704,0,1,0,0,"QL-12032","2004-01-17",0.318591727793709,0.000903281912771003
"2098",2098,1,15,0,10266.5,10,0,0,0,43,9169.63396525159,22.7146178819497,0,1,0,0,"QL-12031","2004-01-17",0.319341065532953,0.000902988955259016
"2100",2100,1,15,0,10256.5,10,0,0,0,45,9155,31.2,0,1,0,0,"QL-12030","2004-01-17",0.319923349277863,0.00124257543849985
"2101",2101,1,15,0,10246.5,10,0,0,0,46,9137,33.8,0,1,0,0,"QL-12029","2004-01-17",0.320641023489578,0.00134914310891918
"2102",2102,1,15,0,10636.5,10,0,0,0,47,9342,31.2,0,1,0,0,"QL-12068","2004-01-17",0.312561878058738,0.00121398364190621
"2103",2103,1,15,0,10626.5,10,0,0,0,48,9352,29.9,0,1,0,0,"QL-12067","2004-01-17",0.312173022823953,0.00116195361414617
"2104",2104,1,15,0,10616.5,10,0,0,0,49,9419,48.1,0,1,0,0,"QL-12066","2004-01-17",0.309580142171472,0.00185370407549456
"2105",2105,1,15,0,10606.5,10,0,0,0,50,9393.71900374894,22.3149731617341,0,1,0,0,"QL-12065","2004-01-17",0.310555969744019,0.00086269738952497
"2107",2107,1,15,0,10596.5,10,0,0,0,52,9352,31.2,0,1,0,0,"QL-12064","2004-01-17",0.312173022823953,0.00121247333650035
"2108",2108,1,15,0,10586.5,10,0,0,0,53,9350,32.5,0,1,0,0,"QL-12063","2004-01-17",0.312250755149952,0.00126330754915641
"2109",2109,1,15,0,10576.5,10,0,0,0,54,9349,35.1,0,1,0,0,"QL-12062","2004-01-17",0.312289628571023,0.0013645420095659
"2110",2110,1,15,0,10876.5,10,0,0,0,55,9636,32.5,0,1,0,0,"QL-12092","2004-01-17",0.301329222762976,0.0012191210929661
"2111",2111,1,15,0,10866.5,10,0,0,0,56,9595,35.1,0,1,0,0,"QL-12091","2004-01-17",0.302871122450327,0.00132338807394578
"2112",2112,1,15,0,10856.5,10,0,0,0,57,9524.06740912182,22.7754811994228,0,1,0,0,"QL-12090","2004-01-17",0.305557362233977,0.000866328390253351
"2114",2114,1,15,0,10846.5,10,0,0,0,59,9554.44001132916,22.7147208708844,0,1,0,0,"QL-12089","2004-01-17",0.304404237687375,0.000860756540642734
"2116",2116,1,15,0,10836.5,10,0,0,0,61,9559,29.9,0,1,0,0,"QL-12088","2004-01-17",0.304231489526897,0.00113239406658212
"2117",2117,1,15,0,10156.5,10,0,0,0,62,8877,31.2,0,1,0,0,"QL-12020","2004-01-17",0.331188824241057,0.00128633030204419
"2118",2118,1,15,0,10146.5,10,0,0,0,63,8853,29.9,0,1,0,0,"QL-12019","2004-01-17",0.332179788691927,0.00123642172063844
"2119",2119,1,15,0,10136.5,10,0,0,0,64,8903,29.9,0,1,0,0,"QL-12018","2004-01-17",0.330118615202383,0.00122874973167575
"2120",2120,1,15,0,10126.5,10,0,0,0,65,8874,31.2,0,1,0,0,"QL-12017","2004-01-17",0.33131253294568,0.00128681078400413
"2121",2121,1,15,0,10116.5,10,0,0,0,66,8835,23.4,0,1,0,0,"QL-12016","2004-01-17",0.332924957397291,0.000969805054537111
"2122",2122,1,15,0,10106.5,10,0,0,0,67,8841,31.2,0,1,0,0,"QL-12015","2004-01-17",0.33267638227888,0.00129210794561198
"2123",2123,1,15,0,10096.5,10,0,0,0,68,8898,33.8,0,1,0,0,"QL-12014","2004-01-17",0.330324155707048,0.00138988627696978
"2124",2124,1,15,0,10086.5,10,0,0,0,69,8908,35.1,0,1,0,0,"QL-12013","2004-01-17",0.329913202592995,0.00144154779173586
"2125",2125,1,15,0,10346.5,10,0,0,0,70,9222,29.9,0,1,0,0,"QL-12039","2004-01-17",0.317266095120807,0.00118091077357303
"2126",2126,1,15,0,10336.5,10,0,0,0,71,9161,29.9,0,1,0,0,"QL-12038","2004-01-17",0.31968448168124,0.00118991236179125
"2127",2127,1,15,0,10326.5,10,0,0,0,72,9231,31.2,0,1,0,0,"QL-12037","2004-01-17",0.316910836077875,0.00123087490173406
"2128",2128,1,15,0,10316.5,10,0,0,0,73,9180,36.4,0,1,0,0,"QL-12036","2004-01-17",0.318929243593133,0.00144516674552347
"2129",2129,1,15,0,10306.5,10,0,0,0,74,9247.00781077075,20.1298247659269,0,1,0,0,"QL-12035","2004-01-17",0.316279938856867,0.000792563145296505
"2131",2131,1,15,0,10296.5,10,0,0,0,76,9216,37.7,0,1,0,0,"QL-12034","2004-01-17",0.317503155703894,0.00149008701232875
"2132",2132,1,15,0,10286.5,10,0,0,0,77,9185,32.5,0,1,0,0,"QL-12033","2004-01-17",0.318730793444854,0.00128952455956153
"2133",2133,1,15,0,10706.5,10,0,0,0,78,9460,32.5,0,1,0,0,"QL-12075","2004-01-17",0.308004087245659,0.00124612633331058
"2134",2134,1,15,0,10696.5,10,0,0,0,79,9430.03495104672,23.9859178480004,0,1,0,0,"QL-12074","2004-01-17",0.309155163164154,0.000923113450260247
"2136",2136,1,15,0,10686.5,10,0,0,0,81,9416,29.9,0,1,0,0,"QL-12073","2004-01-17",0.309695779401842,0.00115273295208703
"2137",2137,1,15,0,10676.5,10,0,0,0,82,9391,31.2,0,1,0,0,"QL-12072","2004-01-17",0.310661104285103,0.00120660107726817
"2138",2138,1,15,0,10666.5,10,0,0,0,83,9415,31.2,0,1,0,0,"QL-12071","2004-01-17",0.309734334743143,0.00120300152421089
"2139",2139,1,15,0,11116.5,10,0,0,0,84,9622.36873262967,22.3150312715828,0,1,0,0,"QL-12116","2004-01-17",0.301840985018618,0.000838490105780632
"2141",2141,1,15,0,11106.5,10,0,0,0,86,9652,29.9,0,1,0,0,"QL-12115","2004-01-17",0.300729637391519,0.00111935966114857
"2142",2142,1,15,0,11096.5,10,0,0,0,87,9604,31.2,0,1,0,0,"QL-12114","2004-01-17",0.302531982193148,0.00117502774112115
"2143",2143,1,15,0,11086.5,10,0,0,0,88,9611,29.9,0,1,0,0,"QL-12113","2004-01-17",0.302268469004396,0.00112508741730754
"2144",2144,1,15,0,11076.5,10,0,0,0,89,9577,31.2,0,1,0,0,"QL-12112","2004-01-17",0.30355054392596,0.00117898381308228
"2145",2145,1,15,0,11066.5,10,0,0,0,90,9541,29.9,0,1,0,0,"QL-12111","2004-01-17",0.304913962672161,0.0011349343313703
"2146",2146,1,15,0,10656.5,10,0,0,0,91,9450,31.2,0,1,0,0,"QL-12070","2004-01-17",0.30838774948712,0.00119777141590914
"2147",2147,1,15,0,10646.5,10,0,0,0,92,9370.56390797099,21.8862331409429,0,1,0,0,"QL-12069","2004-01-17",0.311452437705977,0.000848564753385785
"2149",2149,1,15,0,11090.5,10,0,0,0,94,9629,32.5,0,1,0,0,"QL-12087","2004-01-17",0.301591917130721,0.00122018390473651
"2150",2150,1,15,0,11080.5,10,0,0,0,95,9578,29.9,0,1,0,0,"QL-12086","2004-01-17",0.303512758335179,0.00112971884404604
