"calage","c14age","c14sig","c14ageUpper","c14ageLower"
883,919.30655263917,10.5675149176855,898.215502585774,940.42670947751
884,920.711182555856,10.5834047996452,899.488158143271,941.865364945081
885,922.226341582322,10.6741012817849,900.900384241146,943.562210657548
886,923.275922628088,10.5489217044867,902.229028745691,944.401772299113
887,923.925869204549,10.7179012759772,902.550607367466,945.332726235215
888,924.192976968616,10.6251083729935,903.025364705293,945.613160824024
889,924.15980831226,10.6939804060483,902.833364014636,945.58182791414
890,923.919714556825,10.7565377542465,902.446692705426,945.449048013378
891,922.958039801465,10.5123693333911,901.935864454931,944.002045493583
892,919.987258195177,10.4248511739464,899.156732872598,940.904401239342
893,914.247519045102,10.110939759364,894.065562474907,934.472669106308
894,908.611018226308,10.0962383552958,888.43420539744,928.834598126786
895,907.190447701085,10.1143075533575,886.880039880824,927.436805831398
896,911.293986719371,9.97970936594457,891.34905182083,931.290108130999
897,918.504406620308,10.116786127325,898.28141344218,938.826390453416
898,926.307139602146,10.0329761985023,906.278263701939,946.414495669352
899,933.55364434908,10.1493039543416,913.303821875896,953.940223726882
900,939.239768159748,10.2535907589083,918.738543710463,959.757239962522
901,943.366461537366,10.2739177651681,922.896043187698,963.970730265142
902,946.827300053057,10.6987817374506,925.433532546535,968.239576420438
903,950.188404994317,10.739008360355,928.779560750824,971.647949265096
904,953.18419176176,10.803918727498,931.62694490622,974.795109367918
905,955.15367889877,11.0539662745107,932.995604716559,977.224197361793
906,955.490178997283,10.8877999767241,933.78297533072,977.324513819076
907,954.531908392123,10.5805995565666,933.386632657645,975.673400732897
908,953.856754865013,10.538672713491,932.81912556241,974.952734081502
909,954.620826009301,10.241951266381,934.166223656732,975.093387297472
910,956.76160580851,10.2547816124913,936.308389120294,977.260893872725
911,959.804996867464,10.1817022841307,939.474430669502,980.157034388186
912,963.140627425717,10.0414557380579,943.056691237965,983.244973413736
913,966.118613099857,10.1193671893166,945.903803059998,986.372492466593
914,968.292425388902,10.0234414965291,948.267337224706,988.334567491963
915,970.590286944181,10.1735439344152,950.289722671562,990.981155050405
916,974.343351296582,10.1298506583676,954.090018806807,994.645161938833
917,979.503205971384,9.9761363001043,959.590449139864,999.469911396998
918,984.841673259222,10.0793215099722,964.71311400625,1004.98565016705
919,989.561728725428,9.98585971620044,969.602832177922,1009.43278182847
920,993.639435093811,10.1866382243628,973.200532972676,1014.03070089112
921,997.183197088776,10.172165725683,976.850241764689,1017.5351291419
922,1000.19769474641,10.1152530714209,980.020613380107,1020.38703939554
923,1002.30331874246,10.230279566399,981.901855172054,1022.82436556562
924,1003.65351911697,10.1120560333941,983.429135474259,1023.87453704716
925,1005.6658000371,10.2488720831721,985.098878809681,1026.15114328139
926,1010.03876757832,10.1841972094439,989.66106994478,1030.36886122743
927,1016.6930739421,10.0945455135478,996.477219967073,1036.86239823032
928,1024.20749507759,10.2629228517255,1003.59421748311,1044.7767594613
929,1031.52510833135,10.086822508589,1011.28993702441,1051.69095701284
930,1037.81533708939,10.1415913456169,1017.50708043379,1058.12075603708
931,1042.50241611903,10.0012364884024,1022.5499920889,1062.50265889298
932,1045.43601975999,9.91322922373805,1025.63161795578,1065.30343313206
933,1046.45541431549,10.025326218517,1026.39929999535,1066.62751090574
934,1045.88715886709,9.90948357163494,1026.04126846677,1065.73347331171
935,1044.63690239898,10.1059977187398,1024.41841912776,1064.85831461811
936,1043.54908548929,10.1274029065881,1023.257698034,1063.7688763922
937,1043.58673217669,10.1029127245476,1023.38875594537,1063.82866011397
938,1045.47881445636,10.2244178373139,1025.06617578773,1066.05210303868
939,1049.37655309472,10.1011138510992,1029.21027631411,1069.54848178498
940,1053.42707804316,10.3576780554238,1032.69557129805,1074.14744999395
941,1055.8894968586,10.4551975297229,1035.01985980211,1076.86805280646
942,1056.16157940053,10.5715683941331,1035.09619721686,1077.34328119526
943,1054.06052692404,10.6472346358584,1032.80550682188,1075.37151132177
944,1049.9354057401,10.3642083468757,1029.23160166181,1070.71127748964
945,1044.78929860412,10.4175298281512,1023.97820036459,1065.69241519929
946,1039.55798386945,10.2959109825871,1018.99200455005,1060.15915617293
947,1035.18642059616,10.277716837899,1014.56559805317,1055.83638318526
948,1032.49525148035,10.3000807747552,1011.90743591061,1053.16424750469
949,1031.5221067465,9.91576307384259,1011.70901690706,1051.35900992855
950,1030.64571835569,9.83282711586433,1011.00505829829,1050.39996422768
951,1028.42250010824,9.58603388304333,1009.30876617006,1047.63127904817
952,1025.88929046987,9.49008394882082,1006.97381257745,1044.88392242035
953,1025.05900674139,9.49574466345703,1006.03419285398,1044.06208857226
954,1027.8752266761,9.37675049866155,1009.07969720958,1046.558865503
955,1036.42873935587,9.51683847503977,1017.33387529632,1055.46735495276
956,1051.88017275363,9.3966080495599,1033.11387273483,1070.70460356983
957,1069.83812191218,9.42305038033589,1050.97431894957,1088.67464253729
958,1083.70440403815,9.52064076843493,1064.73362122132,1102.76185986212
959,1090.44925036174,9.49189169910751,1071.50226961864,1109.47435396921
960,1093.07407707538,9.71519769329925,1073.60455530582,1112.56455754073
961,1094.62255089856,9.74201807329381,1075.13480460236,1114.07162985653
962,1095.67717355534,9.91578564291941,1075.83356024619,1115.48255988858
963,1095.98504273603,10.0245317487395,1075.8790641477,1116.0156805249
964,1095.57906094714,9.89228991697873,1075.7614454568,1115.29790421392
965,1094.9887867505,10.0633404403183,1074.992513884,1115.20722323373
966,1094.62402027913,9.9800553503206,1074.75460875798,1114.63622608386
967,1093.79224775395,10.0320105556143,1073.7566925563,1113.85070975949
968,1091.60891196451,10.1156205078809,1071.3630671556,1111.85760821771
969,1088.42734010498,10.0117795783966,1068.45533851078,1108.51492521085
970,1086.57626516756,10.2079872414697,1066.12527860213,1107.05981856329
971,1087.96316932431,10.0945063340329,1067.85245663717,1108.24883916461
972,1092.10808132893,10.1935785838323,1071.7121912279,1112.47501145582
973,1098.06586184266,10.1889524245998,1077.65589651836,1118.47223269841
974,1104.66637850854,10.1051550562544,1084.44468832929,1124.87596608007
975,1110.95794986382,10.2743214322022,1090.46038555745,1131.52716192991
976,1116.05408977701,10.1420125738842,1095.76887793635,1136.39625206383
977,1119.72507752298,10.2492046577234,1099.2715928345,1140.28736260326
978,1121.98161874918,10.3088157718519,1101.35568307021,1142.64126250059
979,1122.58280647955,10.3509575606669,1101.91335586044,1143.27659229128
