Year,gaps,c14_age,c14_sig
-53,0,1201,18
-54,1,1202,18
-55,2,1192,21
-56,3,1172,21
-57,4,1165,18
-58,5,1189,17
-59,6,1117,18
-60,7,1178,18
-61,8,1283,18
-62,9,1299,19
-63,10,1264,18
-64,11,1297,18
-65,12,1324,21
-66,13,1279,22
