"calageBP","delta14c","delta14c_sig"
726,-13.3936813443219,1.41057299853409
727,-13.9604283694949,1.00634648558901
728,-14.5151923898405,0.876650750497584
729,-15.1162509223309,0.863523280077688
730,-15.8574948561647,0.874672249779656
731,-16.7340507147309,0.829908075106739
732,-17.5323377070818,0.843444947590719
733,-18.0350209510902,0.813606200457628
734,-18.229140138702,0.805130883775033
735,-18.210314599553,0.820030838110355
736,-18.0852497740944,0.789639076643694
737,-17.9798895853856,0.823015377116439
738,-18.0080705975209,0.805948530478488
739,-18.1690452221438,0.81153458894967
740,-18.4065351606316,0.831408495755541
741,-18.6332005257255,0.80714084585212
742,-18.7085318303162,0.839248731383964
743,-18.5145117172688,0.819323045514596
744,-18.1320661070712,0.845528821563892
745,-17.7282616465148,0.908589078308099
746,-17.4343020506346,0.897218381359889
747,-17.3243892638739,0.909077108048981
748,-17.4677202603773,0.929553012696452
749,-17.9056939419451,0.883211210203009
750,-18.5017799037027,0.897483665284439
751,-19.050344314287,0.914482022175314
752,-19.3955189558842,0.885645435552085
753,-19.4529268206791,0.903432379630031
754,-19.1643814194932,0.866509220376929
755,-18.5902898793471,0.869701899940363
756,-17.8341283675112,0.877300007569458
757,-17.0337587827921,0.862840641569483
758,-16.3717979000491,0.906956713714285
759,-15.9988832932159,0.891957222695666
760,-15.8856686599017,0.908869276542099
761,-15.9434480720739,0.913078176527074
762,-16.0308189541104,0.887472725311644
763,-15.943834704183,0.906330522519283
764,-15.5366239314346,0.866990918587277
765,-14.9484734085689,0.878009531482083
766,-14.3983311417856,0.882923788905079
767,-14.0346719684493,0.869421123332149
768,-13.9296978125228,0.905482651582539
769,-14.1190020709509,0.881776398721931
770,-14.5019563131319,0.898898762978549
771,-14.9449993369458,0.889291336321463
772,-15.3689800605708,0.854686785978874
773,-15.7484171238903,0.868006623681826
774,-16.0611309571649,0.831528025988997
775,-16.2887704062728,0.853752162871589
776,-16.4124964175939,0.852698752018447
777,-16.3870487649187,0.839925753321301
778,-16.1434221278464,0.872993704518994
779,-15.6652772483663,0.844619216029354
780,-15.1159648269661,0.861945167803771
781,-14.6916518624121,0.843565135619925
782,-14.5085083603498,0.811006374128935
783,-14.6171342111785,0.816127421525612
784,-15.0170143747629,0.750565285848869
785,-15.5589197115686,0.734160284153747
786,-16.071648518889,0.694185193512872
787,-16.4700804728678,0.668531986827752
788,-16.7333746058252,0.708000945245557
789,-16.8703373670417,0.726956699490467
790,-16.9664120731618,0.824798987552309
791,-17.1184169500501,0.857334391707617
792,-17.4036360553898,0.86250170092184
793,-17.8859198989533,0.869236144403937
794,-18.5717308861651,0.802622415607767
795,-19.3268421742731,0.806468129318032
796,-19.9999360182404,0.799741754611836
797,-20.4855132317793,0.821909877435477
798,-20.706710764203,0.869064607074202
799,-20.6561919674858,0.86157387653798
800,-20.480549663129,0.904900275774331
801,-20.3370671372458,0.890394992175493
802,-20.2852144485416,0.880029375847509
803,-20.3294788683354,0.88796841852165
804,-20.4632602433793,0.850016465079014
805,-20.6588136747008,0.874039796152395
806,-20.8759521511623,0.84788773409295
807,-20.9894426140843,0.847280646985827
808,-20.8318869423736,0.877219229798247
809,-20.3499586750565,0.864449072069473
810,-19.6997754871729,0.895355376555056
811,-19.0499185699247,0.857581223642196
812,-18.4931887934457,0.832035364630034
813,-18.0870697241652,0.827023790985894
814,-17.8647590345338,0.791596933137134
815,-17.819386983564,0.806944270614277
816,-17.9322704768841,0.734284415374816
817,-18.1299171369828,0.676203348327673
818,-18.3160488149615,0.65906374849787
819,-18.4007249350375,0.62693348885619
820,-18.3037025486784,0.664623668795714
821,-17.9831872848875,0.634475851084522
822,-17.6273285634913,0.639746583693728
823,-17.5066452376581,0.646040208009442
824,-17.6948633367473,0.614943071525172
825,-17.9947156231231,0.651825430143912
826,-18.2142387486176,0.625134897204834
827,-18.2984963648125,0.640879708291037
828,-18.2405044166586,0.651813026279309
829,-18.079515946361,0.63479810815922
830,-17.9126731828337,0.677924477377332
831,-17.8230314694545,0.649784410952186
832,-17.8063942625771,0.664448370876813
833,-17.8323691674057,0.665263632531263
834,-17.8874246581681,0.643140085752499
835,-17.9772880619232,0.690575398595406
836,-18.0969618325849,0.693680684636345
837,-18.1894364976819,0.761206364233397
838,-18.1857841007531,0.796442595408402
839,-18.0773480108076,0.80155534088209
840,-17.9181909096072,0.849168789921297
841,-17.7478031524782,0.822383605537621
842,-17.5362034912697,0.831125311534992
843,-17.2379884121373,0.817657314768438
844,-16.8457976161114,0.795293958920141
845,-16.3883555987092,0.825779584048707
846,-15.9013934448144,0.800080894795537
847,-15.4405701840381,0.82741213201028
848,-15.0624810753549,0.824833508045734
849,-14.7607996095552,0.815363238272858
850,-14.4748150227394,0.85051182947815
851,-14.1723210044539,0.819177994527667
852,-13.9184183758165,0.834595895034544
853,-13.7960959717974,0.816265856501252
854,-13.8634119207234,0.794184497646726
855,-14.1587253405833,0.813951926493386
856,-14.6538504509382,0.773109279583255
857,-15.1295717466794,0.794293350065934
858,-15.3487666662186,0.789332239520084
859,-15.2960600403113,0.791194505487357
860,-15.1150393981396,0.823843139100151
861,-14.9121576107222,0.790535752264971
862,-14.6878413515474,0.807180831955088
863,-14.4274750525205,0.783760285107479
864,-14.140617548065,0.773958411939754
865,-13.8525057034107,0.796743911087627
866,-13.5609371161264,0.762321287399938
867,-13.1983190562962,0.795203331799048
868,-12.6911570945434,0.787411124216275
869,-12.0026353913865,0.794279978278481
870,-11.1181949548216,0.820723093325197
871,-10.1098676544473,0.781381706373357
872,-9.23402585400308,0.79663792747083
873,-8.74134282964676,0.767609535369707
874,-8.61174587506894,0.764509991960465
875,-8.67942474028424,0.787169522638041
876,-8.79665563459914,0.757376159525433
877,-8.85347013703985,0.78732621074538
878,-8.7570730780259,0.769224286784726
879,-8.51974830724512,0.784467472032831
880,-8.20525857071149,0.813691125194728
881,-7.88799470139776,0.784958983959625
882,-7.66041200318939,0.807215571270107
883,-7.59937956403976,0.774854187762458
884,-7.65483237413361,0.777772009840948
885,-7.72114108960224,0.795197553281286
886,-7.73342087045413,0.770664525084368
887,-7.69225683957417,0.806627412403592
888,-7.60458569388061,0.784696789522431
889,-7.480523565302,0.799457010795638
890,-7.3300671251895,0.812813662620987
891,-7.09263609932436,0.760053245131574
892,-6.60511674717907,0.744537221866537
893,-5.77359346612096,0.675690271915261
894,-4.95472475615721,0.670034690647206
895,-4.6594026011507,0.678542456858875
896,-5.04861852552748,0.646838638098426
897,-5.82032166847619,0.679411509128182
898,-6.66915986866639,0.65684380414104
899,-7.43879583185934,0.684341747640649
900,-8.02433326169145,0.704907732633566
901,-8.41585701860212,0.708432022338508
902,-8.71784425378452,0.793565849910283
903,-9.01462150684515,0.809705978239076
904,-9.26387123642911,0.819686905644035
905,-9.38611775484875,0.870087639492145
906,-9.30637264056353,0.83739602688583
907,-9.07263300697756,0.770529740224157
908,-8.86791405404012,0.762496894061601
909,-8.84338460547678,0.702619638561891
910,-8.98660051634972,0.70218160618447
911,-9.24124115791108,0.687078099605607
912,-9.53478691062667,0.650006278354463
913,-9.77850905032962,0.672313069797345
914,-9.92620426076324,0.641999767130141
915,-10.0957476782005,0.67881049411793
916,-10.4362631260854,0.673610695125932
917,-10.9465420759334,0.635665201798013
918,-11.4882660755756,0.659285198766232
919,-11.9502763987187,0.63554915455483
920,-12.3312570466933,0.677364225726803
921,-12.6514332458895,0.680031819550911
922,-12.8994569221495,0.663120589455854
923,-13.0377664170592,0.686314631266825
924,-13.0819547825967,0.655930343197478
925,-13.2134038755643,0.693407930968905
926,-13.631028671451,0.680076954859746
927,-14.326380279521,0.661394816620355
928,-15.134037619645,0.694509693731123
929,-15.9067785545293,0.654956173773939
930,-16.5585727781437,0.663883450123807
931,-17.017150236162,0.633580243379055
932,-17.2516593290685,0.609251839035491
933,-17.2598796363547,0.62914191178452
934,-17.0714168219738,0.60327073845122
935,-16.7940702834971,0.657206884729238
936,-16.5464272703286,0.65851981041591
937,-16.433218627511,0.657490142317107
938,-16.5500787702232,0.677837048609145
939,-16.9002666597816,0.648627796072998
940,-17.2783873131515,0.706218510099367
941,-17.4641778486704,0.728035504662934
942,-17.3737305766688,0.756304454255364
943,-17.0010992672558,0.773273398993994
944,-16.3807874794054,0.712803125722363
945,-15.628321558005,0.722755490278482
946,-14.8677513330331,0.698615986774662
947,-14.2108551510699,0.6975379535324
948,-13.7620592622096,0.701390917772019
949,-13.521503411598,0.619562515950757
950,-13.2956386304023,0.593526935427807
951,-12.9074761419392,0.528535770228152
