"calage","c14age","c14sig","c14ageUpper","c14ageLower"
744,870.099994405068,11.0973280124219,847.975744808873,892.318194332247
745,867.087549622576,11.5431103699502,844.06906545184,890.205736695772
746,865.106873188645,11.4402473140625,842.270705971165,888.072398035252
747,864.81502421293,11.5200968863111,841.874129781042,887.854262961587
748,867.06843354458,11.5993283248117,843.906730068275,890.328029434196
749,872.18301408135,11.2734838862792,849.745905280068,894.779731172486
750,878.891662155539,11.3927678419769,856.140175395768,901.662534241996
751,885.083515640137,11.5112300912127,862.038914405059,908.112865160999
752,889.299636598834,11.3204631076507,866.761285192354,912.037327811701
753,890.836698854993,11.4965476052372,867.88466258406,913.868994313998
754,889.193426977719,11.2635900893434,866.628186189996,911.783516045514
755,884.95839482908,11.3224509841582,862.310211734757,907.57976133176
756,879.008672665423,11.3145878397511,856.398055850137,901.714930509304
757,872.636895791714,11.1808455753021,850.343370359584,894.961300358817
758,867.791652140834,11.4787490983351,844.799279756034,890.709298756038
759,865.728848277513,11.3269036674774,843.111586732899,888.42605023182
760,866.32516257158,11.4812442315564,843.397742215852,889.319895502011
761,868.591773744407,11.4890849594509,845.615061605076,891.644794088388
762,871.198181824667,11.3295913531794,848.594490295556,893.91670894177
763,871.875582368758,11.4508566027949,848.961503513831,894.720007390804
764,869.166799848235,11.2387384234913,846.681001901858,891.655623686717
765,864.531239387574,11.3693403456489,841.949039532271,887.338846057052
766,860.225316420487,11.3203576683192,837.6669122925,882.97117130864
767,857.817476485334,11.1899287861337,835.455455623423,880.253540559277
768,857.908405157629,11.4373946154241,835.015538287487,880.776316194477
769,860.818463006115,11.3045136970645,838.142074162274,883.4932897108
770,865.391744974403,11.4442077771276,842.537999281993,888.302922839016
771,870.309629647523,11.3891931758005,847.481051969738,893.085737328242
772,874.840848841984,11.1171835835701,852.596232778184,897.095275414212
773,878.82462035883,11.2525095382578,856.353205500756,901.310223499628
774,882.250454187502,11.0225211978026,860.186635472588,904.255442388425
775,885.094992112816,11.1678082163637,862.815746519058,907.525039206635
776,887.297426167153,11.1394367481175,865.033514187551,909.563922081286
777,888.385894118191,11.0321717717633,866.346837232356,910.43594446566
778,887.457264865614,11.2737099198011,864.963487219061,910.017608589531
779,884.115722160533,11.098917388732,861.940257938532,906.319089120838
780,880.007353938805,11.2530615788246,857.550174738338,902.617170857196
781,877.013781283854,11.167289126474,854.537525732162,899.265812580729
782,876.254376159071,10.9525846009893,854.375776205003,898.115727967037
783,878.228498980077,11.0222520638159,856.162460665698,900.260636740274
784,882.962132924641,10.6081473020824,861.750602664756,904.171403197012
785,888.905758576777,10.5495613484509,867.773344019891,910.011102254381
786,894.455235323416,10.3609389411094,873.780446013131,915.26631931563
787,898.78071637661,10.2117657565294,878.360020722054,919.208457450238
788,901.748292633876,10.3899098370102,881.043273962662,922.563422467202
789,903.469201413054,10.4933281287174,882.496461669268,924.462840913772
790,904.748639002979,11.0779422795384,882.682404915048,927.035216545167
791,906.544452320068,11.2546480789604,884.018991480908,929.102045720028
792,909.612152624349,11.2382133901185,887.157529113608,932.079744712459
793,914.608404547185,11.2963359598606,892.010976892901,937.238119649112
794,921.641906349525,10.9242672274938,899.81331983991,943.469261159022
795,929.400495224066,10.9737638459644,907.432454838055,951.241753596554
796,936.461262675851,10.9359125726952,914.555247721356,958.193356313437
797,941.736049200055,11.0152799450133,919.746340451012,963.79464316758
798,944.441290757608,11.3113443589201,921.818905575602,967.128192249865
799,944.467946012769,11.2674931181837,922.005208165818,966.985875377745
800,943.350846339145,11.548196012578,920.283930952613,966.419089289138
