"calage","c14age","c14sig","c14ageUpper","c14ageLower"
508,467.259063274676,11.9409155817042,443.373196291042,491.148515871131
509,464.190901443634,10.193834762384,443.807780865696,484.597560846442
510,462.156531348901,10.0600301618525,442.084375324654,482.295602467591
511,461.954352158972,10.2337440510703,441.471933266223,482.365621088086
512,464.041744095359,10.0550986024903,444.021680579038,484.123403736646
513,468.028754922046,10.1930667350671,447.633786702597,488.486421083143
514,473.349674963324,10.0114958313153,453.34595342253,493.45082977425
515,479.139157601043,9.94249871563162,459.286847979351,499.020752513829
516,484.455262017064,10.076218865068,464.261392901594,504.607730914005
517,488.394090992158,10.0301886972624,468.39472742443,508.44773385511
518,490.669144112893,10.4783528498811,469.703625772452,511.6785519783
519,491.101936138931,10.6695668835491,469.833406134757,512.522058835812
520,490.003803536441,10.9292660550072,468.250078237227,511.970596915999
521,488.1536116817,11.1456007084861,465.946983748548,510.516274282064
522,486.502095309691,10.8128329409672,464.867619409954,508.135391724732
523,486.490441963032,10.8828905125639,464.690507352409,508.210164316449
524,489.516630148361,10.6888217986758,468.099876634706,510.887859055164
525,495.234634351396,10.764969885793,473.650632338283,516.78704625762
526,502.581096787458,10.9471346016879,480.822604546248,524.491899158814
527,510.497539471372,10.7394535598958,488.986917933494,531.973507130714
528,517.796112860465,10.8797653038612,496.024604792617,539.556961178419
529,523.51005985301,10.5442284619426,502.383746661712,544.596949399159
530,527.120572548051,10.3100693796227,506.429164343535,547.822441763981
531,528.334419942658,10.2486694080329,507.82594913468,548.8160502837
532,527.571380773738,10.0581730016236,507.444967297198,547.587530798629
533,526.06065050927,10.2328505992044,505.536366576973,546.467280161979
534,524.933322602482,10.004249690386,504.95315046022,544.942410172398
535,524.427652168332,10.007537058144,504.513620132254,544.477113573142
536,524.353951806345,10.0300018529765,504.269121088189,544.372059997257
537,524.807147578003,10.0290744341606,504.750492841685,544.888516978522
538,526.085432715248,10.4596874180448,505.197616944174,546.951065751722
539,528.50207864089,10.5848487587743,507.403931590624,549.806068299335
540,531.936572680764,10.9562435488702,509.943542585418,553.763730390921
541,536.269905889891,11.177209562538,513.848971688045,558.590530748032
542,541.290840044665,10.9764280871134,519.377343400376,563.284397787643
543,547.079505780085,11.1051107683467,524.957398297089,569.360210661175
544,553.387483801258,10.8833392401783,531.61941674678,575.149888284142
545,559.346595024909,10.9004947573599,537.607615478921,581.134336274614
546,563.815907668649,10.9958948460958,541.857135441934,585.870371601929
547,566.155302659201,10.8981095359885,544.424110283974,587.922298398195
548,566.616241449944,11.1739704607248,544.225723416129,588.874856272196
549,565.715613062392,10.9780632566448,543.784688383599,587.672575312207
550,564.742220850113,11.0248079889502,542.744608544181,586.818621706245
551,565.505772814137,10.9963856371306,543.5292254197,587.623324376494
552,568.762357610191,10.8602908599255,547.093027061727,590.623840689132
553,574.348383147659,11.007141226142,552.323288580295,596.338959815007
554,581.816147656199,10.7392800027518,560.378461551473,603.28415520259
555,589.604470271743,10.8236469923444,567.953572266505,611.281096576388
556,595.957559803845,10.8563448606069,574.332887906451,617.715041776265
557,600.72905182653,10.799967708235,579.211079763273,622.400877512502
558,605.226641092025,11.1003921985705,583.04517868397,627.406437514985
559,610.435047734309,10.9579699884229,588.53279761166,632.404971449194
560,616.265838076933,11.0902715297976,594.040805393235,638.483390196626
561,622.433256868723,11.0615059233815,600.267168230602,644.503492712851
562,628.205589807612,10.8650543499995,606.406865512036,649.991407994554
563,632.658738994257,11.023159796894,610.637677473126,654.698838443962
564,635.161125758255,10.7654286636969,613.586515465383,656.721900598107
565,635.881665799805,10.9156166078839,614.006879182897,657.719495282583
566,635.142483846091,10.8354111740941,613.411093466123,656.784680801552
